sqft_lot,price
5692,445838
14864,1.07E+06
10800,467000
6440,686000
9750,279950
19436,527000
16020,325000
8379,328000
7500,390000
6516,479950
9753,264950
15246,235000
4729,516500
15798,655000
15347,500000
7350,315000
10200,213000
5280,475000
28040,1.03E+06
94300,416000
4740,410000
221284,800000
14034,472000
8505,225000
6000,210000
5000,455000
8316,225000
3060,480000
11872,363000
8354,2.40E+06
5120,181000
7312,250000
3000,481000
7209,260000
7685,455000
36224,415000
3538,349500
7442,245000
9191,592500
7620,385000
11455,315000
10170,255000
4425,693000
4400,780000
8470,237000
40510,525000
5040,425000
10079,369900
7280,290000
10701,285000
4500,415000
9900,272500
20100,2.90E+06
57346,1.37E+06
7538,436000
11390,210000
5898,236000
1306,331000
4510,365000
16258,450000
26300,770000
49375,455000
6000,405000
11325,304900
5265,170000
8480,2.05E+06
7048,780000
13959,330000
8666,370000
13500,467000
6720,405000
10300,675000
14100,500000
15770,389999
9025,630000
9528,360000
11060,580000
4166,550000
22111,879000
8959,265000
7286,446500
8880,404000
11914,267500
18641,3.08E+06
7632,335000
9000,576000
3810,208633
8750,315000
3300,725000
7750,550000
7297,610750
5000,550700
10574,665000
4000,834000
78408,201000
9050,2.38E+06
12103,1.38E+06
12103,1.40E+06
7700,305000
14052,487000
64904,390000
3864,548000
8775,268750
7119,819900
16200,520000
11204,230000
10248,240000
12092,232000
12092,240500
45004,274975
4400,740000
7636,186375
10289,790000
6750,880000
11180,279000
10530,295000
5000,640000
9525,940000
5238,260000
5569,559900
3500,791500
8250,265000
11547,245000
43995,485000
8414,684000
6840,425000
20000,309600
5823,552250
7134,165000
7134,239900
32633,320000
13464,206600
7690,387000
12120,299000
10460,855000
14400,315000
3120,437500
19800,252000
7475,375000
4862,300000
9600,420000
77972,900000
5750,679900
29970,463000
11340,380000
7912,329500
5608,604950
9570,795000
40438,465000
10400,673000
15420,810000
69415,785000
7500,338000
7222,280000
10754,315000
10754,530000
9914,380000
7562,297000
7331,730000
13500,450000
7750,275000
2849,595000
3348,435000
209959,270000
14338,950000
5337,389000
7800,560000
14984,1.35E+06
11585,799000
9600,365500
7352,252350
13780,403950
10726,385000
7620,345000
3128,490000
26977,330000
12090,927000
16619,1.12E+06
10000,330000
8800,530000
25600,365000
3000,378750
8750,269900
2096,557000
16980,360000
5000,352000
22357,437000
6753,322500
2000,650000
1213,450000
5250,278500
6957,364950
40139,840000
8134,268000
143947,517534
32239,632925
7251,577500
7480,339000
37461,570000
174240,563500
9351,423000
5028,355000
171626,1.55E+06
3960,482000
9135,625000
11632,538000
10255,380000
5120,375000
8500,245000
27260,310000
15021,1.30E+06
7680,397000
4052,365000
8250,328500
19700,988000
3277,1.00E+06
2138,237000
5280,525000
9627,749000
11800,722500
8750,843000
1372,438000
10875,578000
8230,227950
11576,196000
5332,641000
219978,350000
7980,205000
9102,400000
9816,1.03E+06
5460,505000
7200,475000
9263,520000
24920,1.45E+06
9732,333500
10403,232000
16117,691100
9897,811000
5802,551000
3640,496500
20978,705000
9225,578000
8659,255000
7832,1.05E+06
8491,348000
3413,230000
11250,359500
7000,330000
5050,80000
6360,465000
7324,325000
28025,340500
5192,342500
17600,290900
6161,868700
8400,1.20E+06
10259,1.15E+06
6298,859900
3006,520000
2527,460000
4590,438924
6550,315000
10650,590000
8640,378500
8130,328500
9773,849950
6000,525000
181319,1.39E+06
7725,295000
11793,1.07E+06
5000,207950
7302,699900
9500,1.28E+06
7350,452000
5036,370000
11230,232000
14062,669950
6710,397500
1391,490000
4140,725000
19635,299000
5750,625000
4500,437500
5438,650000
3825,475000
11947,342000
7800,1.20E+06
11610,280000
7200,240000
3328,529000
5100,442000
6872,615000
10800,1.49E+06
7559,585000
7787,480000
57063,1.10E+06
8184,290000
5000,615000
7680,300000
39150,308000
7745,750000
8036,2.25E+06
194278,890000
7560,288000
6000,190000
5105,515000
11054,235000
5000,275000
9119,727500
6587,650000
230652,1.60E+06
7085,365000
36947,662000
7848,270500
1898,200000
76230,970000
9600,160000
7405,204000
6655,358000
8268,452000
4000,595000
6082,249000
5106,346900
24069,2.13E+06
4350,280000
12000,318888
40518,530000
18500,375000
29242,910000
9614,782000
649,259950
18360,315000
8865,215000
10221,705000
6320,1.45E+06
9813,451000
8125,261000
8280,396000
29170,725000
15235,1.95E+06
7242,238000
9563,750000
10271,331500
108900,460000
217014,404950
5163,880000
22370,863000
9162,638700
5680,435000
5350,260000
4000,671500
3400,610000
15029,405000
5612,338900
7708,720000
5445,442000
5040,650000
9917,263500
75794,300000
3402,266000
84942,930000
5493,530000
8960,180000
6439,619000
10608,264000
4920,730000
10070,439000
7500,268500
15744,330000
4000,640000
12600,900000
13300,370000
2900,685000
217800,505000
32666,265000
2937,290000
3600,296000
9611,360000
10584,240500
2958,372500
14402,595000
8249,515000
15367,1.22E+06
6460,507000
31465,399950
10816,185000
7070,460000
4789,435500
13938,469000
1175,531000
6804,443500
6824,223000
15842,590000
1760,340000
3388,650000
5080,533600
4694,695000
7524,242000
8814,425000
9414,525000
5502,485000
9775,175000
7210,210000
7415,260000
5750,577000
10588,200000
5000,605000
6750,325000
6400,289500
1458,559950
9375,1.04E+06
2790,543500
34293,480000
9633,218000
6000,565000
7700,426700
11575,650000
3060,542000
8000,415000
8316,214000
8910,245000
13303,314500
5750,1.12E+06
3850,378000
9091,305000
6750,595000
1091,729500
6699,430000
6500,240000
6200,545000
2500,530000
26326,157000
7645,425000
6020,220000
36400,521000
6862,325000
5400,597500
3976,337000
10492,1.00E+06
55867,3.07E+06
6000,495000
3330,748000
8710,888000
22267,269900
14440,496500
5097,475000
1374,312000
12231,323000
9079,331000
1086,306000
4000,655000
15954,290000
5000,1.25E+06
4708,460000
6380,435000
11880,664000
4180,865000
18000,385000
9315,497000
3000,280000
17487,188000
4755,478500
18361,1.15E+06
7187,222000
209523,799000
7399,609900
5809,413000
4875,400000
6768,802541
7757,320000
7649,507000
8329,387500
12616,396000
11788,373000
19252,1.48E+06
7698,359900
4342,410000
23488,690000
5760,245000
25958,700000
9966,268000
26055,225000
11034,980000
5000,795000
5100,195000
10575,480000
3600,485000
9000,130000
5703,325000
7245,440000
14782,550000
7150,310000
39478,530000
8548,390000
12125,243000
9875,639000
7400,215000
10500,405000
7140,250000
8108,405500
13579,452000
13579,730000
9644,267000
6186,289950
4080,565000
51836,1.58E+06
2770,636000
5500,350000
9380,320000
5680,210000
5900,245000
7650,328000
37769,985000
7972,501000
17424,315000
8354,403000
17950,550000
3562,347500
8893,365000
8167,588000
7400,605000
5979,1.30E+06
9177,233000
17715,360000
4887,459000
72745,740000
9750,305000
4000,395000
6000,560000
5070,650000
4912,449950
5200,517500
6460,435000
6908,329999
4200,950000
6001,447000
6600,699800
3850,850000
14250,316500
9612,942500
3938,1.31E+06
13430,856600
4000,405600
22594,565000
1149,400000
218252,330000
4683,374950
7939,405300
31400,560000
9864,824000
10968,260000
6099,760000
12750,405000
8625,429900
7223,341500
7642,465250
3000,450000
10800,390000
8030,420000
4838,269950
2874,493000
5880,370000
9453,2.25E+06
23680,305000
8219,400000
1221,320000
4800,715000
10003,650000
8040,218000
5400,500000
40419,460000
9887,232500
5761,408200
8400,522000
11120,675000
11000,1.36E+06
7980,249950
34133,210000
7216,429950
36276,737500
9000,710000
4700,470000
40097,1.10E+06
2720,650000
8684,1.22E+06
4534,422120
15085,625000
7740,385200
4964,500000
12243,308000
9966,565000
4438,581000
8698,361000
7210,345000
1253,419000
4308,347000
36085,625000
15188,2.40E+06
17852,379000
3323,310000
5500,250000
5000,682000
8919,246500
57381,325000
4997,310950
5000,1.10E+06
7200,287500
7200,431000
5000,226000
3090,825000
6030,175000
10350,465750
24931,659000
5753,595000
16290,350000
8600,270000
25600,662500
14000,249900
11340,324500
4003,430000
4003,419950
7440,285000
7780,332000
10725,282000
5175,320000
30736,428750
35287,330000
2309,456500
11050,352000
4080,664000
11894,628000
12555,512000
9000,254000
5790,535800
16050,287653
1304,438000
23899,450000
8050,327000
6120,370500
6271,265000
13260,450000
213444,425000
8690,166600
15000,245000
5212,565000
10150,539900
3200,910000
7416,280000
8549,275000
6590,467000
4445,457500
3090,381156
8240,289999
4160,642450
8701,469950
13650,795000
10514,785000
12095,860000
4764,1.10E+06
8498,147500
11576,390000
8100,229000
8100,185000
9570,414900
4822,200000
9350,225000
4000,720000
4000,930000
17204,1.27E+06
3118,700000
1058,466000
10640,374000
10035,480000
25341,740000
5400,1.01E+06
5000,395000
6771,340000
1340,209000
7700,431650
11470,980000
28243,660000
9009,730000
9600,291500
14486,905000
50308,800000
13592,839900
1157,200000
6698,300000
6041,530000
8479,314950
9315,255000
5720,550000
4800,435000
8738,234000
10062,615000
8384,205000
7135,384000
7208,324000
5500,645000
1777,570000
5322,324000
10320,270000
7700,290000
9220,250000
16275,342000
8450,255000
11824,800000
4049,451000
10480,990000
6687,288400
4600,420000
1140,359000
262018,390000
2614,300000
7863,545000
18616,288349
35026,299900
5000,891000
22410,1.20E+06
4650,378000
7200,299995
6564,253000
47916,350000
4300,565000
5665,315000
6766,570000
10140,971000
5589,915000
23568,419000
7480,260000
12968,1.32E+06
10720,369950
13384,1.03E+06
6750,435000
6743,601000
10650,460500
1159,720000
13202,851000
5000,550000
4560,700000
14850,323000
8581,345500
7920,378000
5000,650000
7380,385000
2970,425000
6174,210000
43101,630000
7500,335000
9000,196500
7636,582800
7207,440000
8616,752500
5000,532500
9000,265000
13737,397500
3469,524250
10819,765000
5450,648000
24759,469500
7854,237500
8712,216000
8400,427200
7800,280000
9804,718000
4139,420000
5400,379000
7683,326100
1016,535000
8560,283000
7469,260000
6388,399000
5004,484950
9828,640000
8158,585000
11583,645000
7651,253000
6460,178500
6325,291000
20917,199950
2340,553500
4188,189950
9550,289000
4590,700000
8853,270000
8320,258000
7214,530000
3677,245000
5000,563000
4203,515000
7091,325000
217800,540000
5000,280300
5500,460000
8970,475000
44431,900000
7260,538200
3600,429000
5411,164808
7700,520000
8432,475000
47045,283000
6228,321500
21810,840000
6000,287000
8106,375000
7128,349500
7749,446450
9643,315000
5340,271310
8400,315000
6930,245000
5484,543115
8190,900000
6552,2.45E+06
6045,554000
12522,249900
54160,768000
5854,980000
9600,395000
2200,415000
6921,380000
5259,566000
8961,218500
10500,550000
3000,512031
8860,197500
8784,470000
242629,590000
8862,465000
114562,499000
11500,515000
5000,716500
4250,410000
6500,850000
35021,1.05E+06
13435,648000
5350,620000
84267,935000
10320,379000
5375,699000
8005,528000
9452,425000
8645,249500
6642,1.04E+06
11900,790000
18050,399950
9000,275000
2500,550000
6890,140000
6250,250000
8909,318000
57000,505000
9248,470500
9206,360000
8500,1.24E+06
16080,986000
4228,515000
41900,320000
7426,310000
5000,356700
5595,775000
7541,325000
8677,208000
12775,825000
11254,515000
3400,490000
28300,675000
4080,360000
4080,550000
9000,225000
9360,500000
11700,385000
12611,837700
3056,448000
21357,730000
7140,575000
7300,430000
3987,435000
9611,241000
1760,453500
1380,285000
4222,151000
14731,1.57E+06
2400,631000
1073,285000
8378,195000
35679,817500
12825,550000
8281,1.13E+06
1369,609850
4380,200000
6219,367000
8375,285167
32175,275000
12843,350900
9273,660000
8835,525000
7800,262000
4560,690000
14648,624000
7740,353000
10400,552500
8355,224500
8571,239000
12250,975000
13470,1.20E+06
4000,505000
7865,302000
5670,170000
27007,195000
6300,272000
6300,369000
6332,332500
8250,515000
4250,269000
17832,1.28E+06
4100,303000
8624,420000
4100,400000
8437,225000
2550,219000
9487,605000
6867,625000
3240,380000
7700,620000
10970,687500
7950,225500
6000,252500
3658,510000
5203,510000
4000,725000
43377,75000
2970,492000
14196,425000
7898,1.96E+06
6162,298900
40319,699000
3000,310000
8580,350000
10061,790000
5000,305000
2865,315000
6600,267500
7749,1.75E+06
8620,435000
7500,482500
45517,5.11E+06
8400,439995
7500,460000
6440,194000
8313,290000
9600,274700
3672,900000
103382,1.15E+06
3667,605000
3850,359000
9900,850000
2500,505000
7394,565000
7110,585000
7500,328000
18700,749950
7140,826000
40259,535000
101930,925000
6000,875000
9200,902000
13900,423000
11100,235000
14057,545000
7560,343000
2930,334950
5355,405000
8250,220000
8100,173000
3600,655000
3000,406000
8320,632000
4000,357000
17585,361000
8149,277000
40202,630000
4597,254000
8400,472800
3800,263000
3800,510000
10125,179950
7307,525000
889,479000
6440,651000
7834,949000
27951,392400
5356,585000
7504,460000
4400,470000
4271,245000
27631,500000
8653,455000
3974,485500
7920,1.88E+06
17334,100000
16105,307000
14401,475000
7210,330000
7520,130000
7417,320000
6180,735000
9600,365000
11935,234000
8288,211000
6320,680000
7845,457000
7261,349000
6840,360000
10155,350000
7420,208000
11234,250275
11234,435000
7763,270000
12940,438000
23625,659000
6350,645000
5423,685100
9569,350000
81892,375000
81549,170000
3841,880000
5000,410500
13609,780000
4426,1.23E+06
6852,449000
5000,546000
11410,317000
7566,276900
7030,399000
10165,495000
9000,258000
102366,600000
881,265000
7000,321000
4000,682000
5805,295700
37981,609000
47044,995000
11817,530000
5150,614000
21780,390000
6642,467000
13501,484000
1115,340000
7201,302495
3360,532500
9592,441500
8062,470000
8570,2.30E+06
99752,590000
12000,320000
1201,363000
18600,747500
7957,750000
4000,831000
4125,403000
4565,445000
17380,345000
14872,2.26E+06
8925,371025
6250,355000
14110,270000
15349,425000
7875,364808
6561,320000
5797,325000
10290,350000
10176,170000
28717,255000
7500,550000
25714,835000
5120,420000
7350,925000
4080,389250
10183,748000
9600,284000
5000,588000
8648,372500
7194,285000
9467,360000
17859,275000
4225,428000
17864,847000
7838,316000
7205,375000
4080,533000
16905,556000
14120,225000
9530,537250
13650,255000
4836,530000
24829,5.30E+06
31238,595000
8880,548000
8073,234975
1325,600000
12528,432000
6657,455000
11234,279950
9072,267500
220308,620000
7590,110000
1846,625000
7000,389000
3360,1.20E+06
133729,788500
6936,567000
15000,515000
11870,605000
4800,430000
6000,805000
4556,567500
3870,647500
2530,495000
5000,825000
7506,435000
7800,445950
10257,960000
3600,780000
9000,274500
5167,729953
890,464950
18800,620000
5600,735000
9565,450000
4676,450000
5298,842500
79714,360000
100545,585000
7923,461000
4494,345000
10302,1.08E+06
8391,643000
8307,690000
11111,282000
6130,549000
6000,815000
22703,2.20E+06
11424,700000
10360,933399
11250,290000
9300,372000
2890,450000
5700,303700
10049,672000
9360,334000
5650,260000
5700,749950
122038,330000
2808,830000
13791,1.13E+06
7552,320000
15250,260000
11475,225000
6350,279200
10000,520000
8060,505000
8366,234000
5044,503000
8858,606000
6000,433500
10182,250000
9307,719000
14400,381000
4400,267000
14149,275000
7140,651000
5671,439000
5070,325000
6380,490000
6172,519900
35040,545000
20041,1.06E+06
8250,542000
21650,465000
3900,408000
5950,292000
10122,253000
4662,280000
41346,658588
8910,635000
8300,439000
3855,300000
13496,345000
8050,283500
4920,425000
8955,685000
12987,750000
8000,245000
6924,585444
7571,706000
9099,445000
6000,241000
7155,1.18E+06
5750,530000
12199,350000
17186,1.70E+06
9630,389000
6820,799000
9630,1.40E+06
8612,340895
10281,780000
73600,350000
4874,470000
80837,914600
4762,354000
6000,470000
5400,715000
4000,265000
20000,2.54E+06
4944,640000
18900,290000
35000,480000
5600,535000
12220,907000
7330,459000
21399,1.36E+06
11599,264950
3000,352950
13100,491500
37034,1.23E+06
9194,369500
6294,566000
7308,290000
23985,5.35E+06
5330,180000
6000,215000
6000,302000
7881,352500
5926,235867
11946,500000
4500,382000
2402,515000
2600,250000
5300,672500
13031,755000
2555,707500
3840,459000
10620,140000
4284,495000
5283,757000
5283,765000
6052,359000
7500,440000
7200,400000
4080,652000
5850,260000
10796,1.33E+06
17859,519500
5992,650000
8075,280000
7980,515000
2692,400000
5017,652100
7956,235000
10080,701000
9594,640000
4584,455800
21937,504750
15540,483000
20412,530000
8786,250000
5885,229950
9414,884744
9964,514000
35015,532000
5539,423000
4025,420000
18250,521000
7490,577000
8040,425000
4862,495000
8577,340000
1991,499950
4750,1.22E+06
7634,720000
8247,249000
11070,206135
9276,300000
14040,612000
27311,1.10E+06
9100,230000
4600,850000
7000,355000
7253,442000
5000,399000
7115,360000
7725,390000
8711,413000
9500,190000
9226,432900
7741,621138
4252,270000
35040,610000
5525,500000
40635,715000
14821,264000
3200,550000
9087,337000
8710,170000
9095,405000
28563,775000
7475,425000
9242,713000
8712,555000
5608,810000
41263,1.25E+06
6150,819000
1200,409900
2067,935000
7560,657500
6105,900000
7095,932800
9000,391000
9825,420000
32670,1.30E+06
16800,415000
9425,350000
1820,375000
14135,860000
8872,495000
8400,250000
21312,365000
6760,503000
7200,150000
1480,450000
7213,355000
9333,245000
7793,265900
7575,299000
11523,957500
7250,343000
7364,307500
14599,937500
45302,610000
7080,720000
2620,610000
7965,434500
47044,602500
4000,607010
5750,610000
35000,828500
8560,199990
9362,294000
6100,789500
9473,797000
5250,539950
6778,284950
10372,776500
10070,525000
4957,303000
7650,722080
7473,140000
7473,235000
5500,440000
6000,605000
4800,380000
8890,352000
12000,420000
7220,1.18E+06
10572,1.38E+06
14750,300000
49091,1.15E+06
4189,453500
7598,443500
8138,332000
4721,655000
6000,475000
12956,372500
7200,1.05E+06
4200,500000
24773,900000
7140,327500
7123,390000
1962,451101
5800,455000
46748,650000
7746,895000
10664,800000
12918,703770
10454,249950
3881,512000
74052,780000
11625,336000
6900,285000
7224,229900
4000,667500
12236,378000
43733,454000
4630,537500
4160,425000
6600,290000
3600,349500
1655,370000
8438,549500
6322,245000
7200,208000
8760,248000
37058,610000
5116,550000
206910,750000
7380,192000
4000,169317
3850,1.20E+06
6350,880000
7129,210000
9800,180500
29078,540000
35722,520000
6000,177500
5650,415000
7200,495000
9646,325000
4903,440000
9844,411000
9600,810000
8996,561750
12573,835100
9969,450000
2807,238000
142803,299000
6240,570000
12626,340000
2275,450000
8786,272750
6380,520000
10723,284950
9660,255000
9488,231500
204732,415000
6000,330000
12240,365000
9188,425000
6480,400000
9701,335000
1251,342000
2580,490000
14319,331500
4102,960000
35298,720500
6550,830000
3600,662990
10507,220000
4179,349950
2159,550000
5668,396000
4000,635000
7650,293000
10120,339000
8734,285000
5000,775000
9289,224000
8125,2.25E+06
8514,165050
4500,275000
5500,445000
38639,510000
7000,1.23E+06
13500,390000
10450,460000
14733,700000
14406,874150
9800,470000
9416,374000
131115,510000
1181,467000
28405,576000
7352,196440
18901,825000
2600,281000
1577,326000
46580,340000
36036,440000
18199,749000
8316,340000
7000,561000
7930,270000
3600,600000
5427,219900
360241,617000
8446,469000
56628,229000
2646,1.27E+06
8301,365000
9301,429000
6809,550000
16300,453000
7000,187500
14350,520500
12776,300000
5000,799000
4948,338000
4400,800000
3200,360000
10490,442500
1651359,700000
9601,830000
11592,360400
9339,345000
51836,300000
10800,350000
36900,368000
7482,264000
16677,435000
15837,200000
3832,620000
11466,1.68E+06
6000,337000
20296,1.93E+06
10414,544500
1638,252000
3784,445000
14196,379500
4225,189950
4250,469000
53898,600000
33981,785000
8967,372000
7180,445000
53392,508000
4800,780000
9800,541100
5608,729000
134489,397000
4520,451555
8153,300000
11542,416000
3060,490000
5054,480000
1662,368000
10615,1.04E+06
9000,545000
15119,850000
4750,550000
9314,600000
12138,535000
4975,599950
5022,531000
7665,530000
8250,597326
33460,805000
8364,390000
3250,487250
8414,301000
5618,1.18E+06
3000,299000
22863,2.35E+06
3904,400000
7210,467500
9103,305000
306848,210000
10168,300000
8755,327500
7136,269000
17533,975000
5400,355000
4620,712000
41656,883000
12252,190000
8028,443000
11025,920000
8250,285000
4080,901000
5775,552500
5000,256000
7119,341000
8941,279000
10650,686000
11867,225000
15600,215500
4800,950000
156988,503000
7567,780000
7500,212000
6703,580000
3141,465000
7560,206000
10171,615000
6305,519000
11444,1.14E+06
3839,330000
7973,240000
7000,574000
24663,930000
183823,850000
7275,415000
9005,480000
8875,300000
9503,439000
36831,450000
206480,589000
3000,477000
6120,587500
6105,1.32E+06
27589,1.43E+06
15000,700000
6552,275000
11783,367500
6300,453250
5428,607000
8960,255000
2500,501000
4650,450000
8000,360000
3050,460000
8290,753000
4234,389950
4400,469000
5688,550000
11675,565000
7600,189650
5131,1.53E+06
8000,260000
12000,243000
13800,1.10E+06
7200,249000
7200,720000
9557,905000
3500,824500
8760,762500
1280,580000
8580,380000
3200,805000
4532,520000
5800,1.57E+06
8925,175000
9602,353500
26989,500000
7350,386500
4750,210000
6510,439500
5751,315000
8601,339000
9163,655000
8678,740000
7843,685000
9877,550000
4234,405000
17366,765000
3600,625000
19680,207000
19680,370000
4961,475000
8250,365000
6800,411800
42436,668000
3630,618000
5921,247500
6150,345000
8400,616300
6768,348000
10762,425000
11880,850000
6137,820000
52953,832000
3840,835000
3425,350000
4096,349000
4360,1.13E+06
3480,320000
7210,150000
10190,340000
8448,785500
8601,410500
11000,580000
920,345000
37000,550000
7299,449500
7007,300000
28052,915000
9916,1.58E+06
2750,599000
10202,755000
7157,400000
9115,133000
8400,330000
5000,330000
9417,375000
8956,485000
11250,470000
3600,1.05E+06
4704,548800
2674,315000
9374,590000
12067,439950
26337,325000
5111,400000
10051,685000
10200,339950
8160,315000
3795,411753
4879,577000
8829,500000
10111,210000
16120,640000
8663,460000
4760,265000
31675,740000
6195,230000
10661,315000
51763,432000
3984,467000
9900,255000
6360,316500
6250,190000
2400,490000
23200,378000
17877,598800
3868,333800
9904,690000
6200,320000
6000,1.25E+06
9600,335000
33920,840000
21780,608250
4165,550000
7920,240000
11757,998000
8000,275000
9292,284200
7623,1.72E+06
24825,2.40E+06
96574,930800
10400,930000
8775,215000
26487,480000
5120,483945
8050,347000
9760,232500
33132,390000
15360,550000
8971,590000
40946,420850
8190,345000
7000,429800
17664,302000
3952,800000
6000,250000
4500,605000
52256,412000
5670,252000
12500,375000
2719,725000
8200,471750
85813,490000
5100,439000
8890,355000
87120,250000
16188,780000
3271,409000
3880,420000
9600,200000
35679,830000
4555,695000
9614,815000
6223,210000
6000,635000
7322,562500
11951,402500
7020,555000
7173,310000
18001,500000
8800,430000
7200,1.60E+06
4080,627500
7050,335000
20100,962000
14270,299000
5868,399950
9660,322000
4625,430000
13860,307000
5000,194000
8581,180000
13383,465000
9296,722500
3400,470450
6000,280000
6702,176250
9100,560000
11287,830000
10096,276900
4800,625000
4760,1.02E+06
8750,463500
9015,485000
7476,272000
3140,305000
13964,760000
6126,387500
5015,352000
40098,507000
9750,156000
857,580000
35020,630000
9000,275000
14720,835000
7850,340000
6687,329350
26000,1.48E+06
150117,475000
2416,719950
2451,235000
5750,875000
9150,380000
97138,325000
57050,475000
4368,152900
7570,210000
6000,350000
17882,505000
8424,464900
5980,650000
1140,369950
2890,250000
2890,320000
16048,2.53E+06
24700,340000
1968,440000
7727,219950
11740,940000
6125,399950
8828,1.57E+06
9750,528000
8990,545000
6194,575000
10184,235000
6371,272000
9600,380000
6967,195000
4988,297000
7294,349000
5200,320000
10707,319990
12282,439900
3600,429000
6250,272500
7255,400000
4300,462000
6095,510000
3255,550000
5200,150000
8490,460000
10306,632500
11220,361000
1221,437000
5750,370000
12151,884250
9936,225000
5000,235000
6000,767500
8078,1.20E+06
46609,715000
7700,417000
12145,199000
5568,875000
3708,545000
7692,192500
7708,822500
10000,800000
4944,1.25E+06
21300,3.85E+06
7936,295000
4980,419000
19606,1.20E+06
13907,750000
8400,502000
8000,1.03E+06
15960,398500
4945,700000
9078,248000
2800,800000
8055,383000
4000,688000
5455,521000
9223,365000
7000,491000
7700,643000
7350,279000
3900,583500
3600,310000
7650,310000
13975,280000
5692,272000
36246,870000
7259,307000
4500,490000
9396,399950
26784,1.64E+06
13474,989000
9011,264950
7236,491500
15003,345000
18042,339900
4000,852000
40946,585000
8793,723000
70567,594000
4102,405000
74495,725500
5719,800000
76665,1.33E+06
8518,180500
8518,325000
7280,235000
8308,330000
6600,678500
6660,463000
4640,250000
4800,655000
7000,239900
9135,185000
5000,1.74E+06
11800,251700
8250,400000
7960,735000
15250,1.70E+06
22334,82500
7221,765000
8162,292500
7000,270000
6807,415000
19025,950000
8396,353000
2375,670950
8700,280950
7735,585000
43645,525000
8823,605000
3752,1.01E+06
8410,245990
12607,535000
5750,410000
7752,550000
8000,665000
17239,455000
4000,440000
14915,332000
6607,280000
1021,570000
10350,250000
8453,238000
5760,265000
10350,306000
4182,345000
10764,765000
11018,346300
11375,342500
5439,501000
8364,270000
4400,638000
2003,460000
8521,760000
11019,1.09E+06
8128,234000
8890,1.65E+06
5000,488000
20805,1.55E+06
12675,499000
6776,150000
7270,333000
8625,700000
22500,275000
11312,330000
8827,360000
8040,467000
57063,568000
9603,605000
9023,750000
69834,760000
10519,265000
12540,490000
4650,360000
12000,311750
12473,399000
9751,347000
34982,1.68E+06
6479,585000
7475,340000
5496,612000
3376,230000
7753,604000
8868,250000
7930,258500
5000,783000
7680,1.05E+06
4031,760000
5000,276000
12377,550000
6240,398000
4300,775000
10202,1.03E+06
6000,327000
14568,564500
6820,782000
5510,398000
10920,257000
9415,235000
37533,453000
9000,535000
7000,275000
10047,665000
13530,670000
10757,465000
5200,210000
4443,265000
2657,426000
7610,529219
46609,600000
8279,875000
